# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	0.9892651	-1.185399e-07	3e-45	0.057	0	0
0	0.98917496	-1.4042598e-07	3e-45	0.056	0	0
0	0.9890841	-1.6100239e-07	3e-45	0.055	0	0
0	0.98899245	-1.9196887e-07	3e-45	0.054	0	0
0	0.98889995	-2.256711e-07	3e-45	0.053	0	0
0	0.9888066	-2.7180067e-07	3e-45	0.052	0	0
0	0.98871243	-3.266323e-07	3e-45	0.051	0	0
0	0.9886173	-3.9461884e-07	1e-45	0.05	0	0
0	0.98852134	-4.7980575e-07	3e-45	0.049	0	0
0	0.98842454	-5.874608e-07	3e-45	0.048	0	0
0	0.98832685	-7.303024e-07	3e-45	0.047	0	0
0	0.9882282	-9.033538e-07	3e-45	0.046	0	0
0	0.9881287	-1.1375232e-06	3e-45	0.045	0	0
0	0.9880283	-1.4471298e-06	3e-45	0.044	0	0
0	0.98792696	-1.8885185e-06	3e-45	0.043	0	0
0	0.9878247	-2.4429464e-06	3e-45	0.042	0	0
0	0.9799338	-1.281951e-06	-6e-45	0.041	0	0
0	0.9795406	2.9380317e-08	-6e-45	0.04	0	0
0	0.97914326	3.0235242e-08	-6e-45	0.039	0	0
0	0.97874236	2.7761416e-08	-6e-45	0.038	0	0
0	0.9783379	3.096011e-08	-4e-45	0.037	0	0
0	0.97792953	2.916022e-08	4e-45	0.036	0	0
0	0.97751737	2.9351213e-08	6e-45	0.035	0	0
0	0.9771011	3.160676e-08	6e-45	0.034	0	0
0	0.9766809	3.0100637e-08	6e-45	0.033	0	0
0	0.9762561	3.063178e-08	6e-45	0.032	0	0
0	0.9758272	2.743036e-08	6e-45	0.031	0	0
0	0.9753938	2.883462e-08	6e-45	0.03	0	0
0	0.9749557	3.103196e-08	6e-45	0.029	0	0
0	0.97451293	3.169407e-08	6e-45	0.028	0	0
0	0.9740652	3.0122465e-08	6e-45	0.027	0	0
0	0.97361267	3.1097443e-08	4e-45	0.026	0	0
0	0.9731549	2.9656803e-08	6e-45	0.025	0	0
0	0.9726917	3.070454e-08	4e-45	0.024	0	0
0	0.9722233	3.1257514e-08	6e-45	0.023	0	0
0	0.9717492	3.198511e-08	4e-45	0.022	0	0
0	0.9712696	2.9293005e-08	4e-45	0.021	0	0
0	0.97078407	3.3644028e-08	1e-45	0.02	0	0
0	0.97029257	3.1170202e-08	4e-45	0.019	0	0
0	0.9697948	3.4080585e-08	4e-45	0.018	0	0
0	0.96929073	3.1257514e-08	3e-45	0.017	0	0
0	0.9687803	3.1810487e-08	4e-45	0.016	0	0
0	0.9682631	3.4517143e-08	6e-45	0.015	0	0
0	0.967739	3.2188836e-08	4e-45	0.014	0	0
0	0.9672079	3.4197e-08	3e-45	0.013	0	0
0	0.96666956	3.1024683e-08	4e-45	0.012	0	0
0	0.96612406	2.9715011e-08	4e-45	0.011	0	0
0	0.96557057	3.3032848e-08	4e-45	0.01	0	0
0	0.96500945	3.070454e-08	4e-45	0.009	0	0
0	0.96444017	3.2043317e-08	6e-45	0.008	0	0
0	0.9638628	3.3323886e-08	3e-45	0.007	0	0
0	0.96327674	3.4458935e-08	3e-45	0.006	0	0
0	0.9626821	3.5448465e-08	4e-45	0.005	0	0
0	0.96207833	3.405148e-08	4e-45	0.004	0	0
0	0.9614654	3.6408892e-08	3e-45	0.003	0	0
0	0.9608427	4.004687e-08	3e-45	0.002	0	0
0	0.96021086	3.472087e-08	4e-45	0.001	0	0
0	0.9595686	3.4458935e-08	3e-45	-7.632783e-17	0	0
0	0.95891595	3.4691766e-08	4e-45	-0.001	0	0
0	0.9582528	3.806781e-08	4e-45	-0.002	0	0
0	0.9575785	3.8795406e-08	6e-45	-0.003	0	0
0	0.9568931	3.835885e-08	4e-45	-0.004	0	0
0	0.95619583	3.7427526e-08	3e-45	-0.005	0	0
0	0.9554867	3.9639417e-08	3e-45	-0.006	0	0
0	0.9547652	4.1851308e-08	4e-45	-0.007	0	0
0	0.9540308	3.8009603e-08	4e-45	-0.008	0	0
0	0.9532833	3.934838e-08	3e-45	-0.009	0	0
0	0.95252216	4.0163286e-08	7e-45	-0.01	0	0
0	0.9517472	3.6729034e-08	6e-45	-0.011	0	0
0	0.95095754	4.2200554e-08	3e-45	-0.012	0	0
0	0.950153	4.0454324e-08	3e-45	-0.013	0	0
0	0.9493331	4.126923e-08	6e-45	-0.014	0	0
0	0.9484972	4.1676685e-08	4e-45	-0.015	0	0
0	0.9476446	4.2433385e-08	3e-45	-0.016	0	0
0	0.94677496	4.2899046e-08	4e-45	-0.017	0	0
0	0.9458875	4.3655746e-08	3e-45	-0.018	0	0
0	0.9449818	4.452886e-08	4e-45	-0.019	0	0
0	0.9440571	4.3597538e-08	4e-45	-0.02	0	0
0	0.94311285	4.7148205e-08	3e-45	-0.021	0	0
0	0.942148	4.9185473e-08	4e-45	-0.022	0	0
0	0.9411621	4.848698e-08	7e-45	-0.023	0	0
0	0.94015396	4.7846697e-08	7e-45	-0.024	0	0
0	0.93912303	5.0698873e-08	4e-45	-0.025	0	0
0	0.9380683	5.023321e-08	3e-45	-0.026	0	0
0	0.93698883	5.075708e-08	3e-45	-0.027	0	0
0	0.93588346	5.005859e-08	8e-45	-0.028	0	0
0	0.9347514	5.326001e-08	3e-45	-0.029	0	0
0	0.9335915	5.1571988e-08	6e-45	-0.03	0	0
0	0.9324024	5.3201802e-08	7e-45	-0.031	0	0
0	0.9311827	5.4656994e-08	7e-45	-0.032	0	0
0	0.9299317	5.3376425e-08	-1e-44	-0.033	0	0
0	0.92864704	5.646143e-08	-1e-44	-0.034	0	0
0	0.92732775	5.7101715e-08	-1.1e-44	-0.035	0	0
0	0.925972	6.1059836e-08	-1e-44	-0.036	0	0
0	0.9245781	5.8906153e-08	-1.1e-44	-0.037	0	0
0	0.9231439	5.9313606e-08	-1e-44	-0.038	0	0
0	0.92166775	6.420305e-08	-1e-44	-0.039	0	0
0	0.9201474	6.263144e-08	-1.1e-44	-0.04	0	0
0	0.91858053	6.350456e-08	-1.1e-44	-0.041	0	0
0	0.9169642	6.5832864e-08	-1.1e-44	-0.042	0	0
0	0.91529655	6.68806e-08	-1e-44	-0.043	0	0
0	0.9135743	6.851042e-08	-1e-44	-0.044	0	0
0	0.9117935	7.124618e-08	-4e-45	-0.045	0	0
0	0.9099512	7.462222e-08	-8e-45	-0.046	0	0
0	0.9080441	7.485505e-08	-7e-45	-0.047	0	0
0	0.9060672	7.718336e-08	-8e-45	-0.048	0	0
0	0.904017	7.741619e-08	-1e-44	-0.049	0	0
0	0.90188724	8.085044e-08	-8e-45	-0.05	0	0
0	0.8996739	8.160714e-08	-7e-45	-0.051	0	0
0	0.8973693	8.5972715e-08	-8e-45	-0.052	0	0
0	0.8949677	8.533243e-08	-8e-45	-0.053	0	0
0	0.89246154	8.8475645e-08	-1e-44	-0.054	0	0
0	0.8898423	9.336509e-08	-1e-44	-0.055	0	0
0	0.88709974	9.8196324e-08	-3e-45	-0.056	0	0
0	0.884224	9.872019e-08	-1e-44	-0.057	0	0
0	0.8812026	1.00873876e-07	-8e-45	-0.058	0	0
0	0.87802196	1.0768417e-07	-1e-44	-0.059	0	0
0	0.87466455	1.08382665e-07	-1e-44	-0.06	0	0
0	0.8711139	1.1001248e-07	-1e-44	-0.061	0	0
0	0.8673455	1.1589145e-07	-8e-45	-0.062	0	0
0	0.8633357	1.2206146e-07	-8e-45	-0.063	0	0
0	0.85905194	1.2444798e-07	-8e-45	-0.064	0	0
0	0.8544559	1.2869714e-07	-8e-45	-0.065	0	0
0	0.84950364	1.3236422e-07	-8e-45	-0.066	0	0
0	0.84413457	1.3614772e-07	-1.3e-44	-0.067	0	0
0	0.83827424	1.4499528e-07	1.1e-44	-0.068	0	0
0	0.8318258	1.5256228e-07	1e-44	-0.069	0	0
0	0.8246536	1.6309787e-07	-1.3e-44	-0.07	0	0
0	0.81657004	1.7345883e-07	7e-45	-0.071	0	0
0	0.807287	1.8812716e-07	-8e-45	-0.072	0	0
0	0.79633945	2.1018786e-07	1e-44	-0.073	0	0
0	0.782853	2.4808105e-07	-7e-45	-0.074	0	0
0	0.7647582	3.1327363e-07	-4e-45	-0.075	0	0
0	0.7310936	5.409238e-07	4e-45	-0.076	0	0
0	-0.9909042	2.2148306e-06	-3e-45	-0.077	0	0
0	-0.99097866	1.8614228e-06	-3e-45	-0.078	0	0
0	-0.9910524	1.6424747e-06	-3e-45	-0.079	0	0
0	-0.9911254	1.4229154e-06	-3e-45	-0.08	0	0
0	-0.9911978	1.2177625e-06	-3e-45	-0.081	0	0
0	-0.9912695	1.0266667e-06	-3e-45	-0.082	0	0
0	-0.99134064	8.747156e-07	-3e-45	-0.083	0	0
0	-0.9914111	7.302733e-07	-3e-45	-0.084	0	0
0	-0.9914808	6.2028994e-07	-3e-45	-0.085	0	0
0	-0.99155	5.2456744e-07	-3e-45	-0.086	0	0
0	-0.9916185	4.3268665e-07	-3e-45	-0.087	0	0
0	-0.99168646	3.592868e-07	-3e-45	-0.088	0	0
0	-0.99175376	2.9531657e-07	-3e-45	-0.089	0	0
0	-0.9918204	2.4057226e-07	-3e-45	-0.09	0	0
0	-0.9918865	1.9770232e-07	-3e-45	-0.091	0	0
0	-0.99195194	1.5686965e-07	-3e-45	-0.092	0	0
0	-0.99201685	1.2584496e-07	-3e-45	-0.093	0	0
0	-0.99208117	9.968062e-08	-3e-45	-0.094	0	0
0	-0.9921448	7.470953e-08	-3e-45	-0.095	0	0
0	-0.992208	6.251503e-08	-3e-45	-0.096	0	0
0	-0.9922705	4.505273e-08	-3e-45	-0.097	0	0
0	-0.99233246	3.472087e-08	-3e-45	-0.098	0	0
0	-0.9923939	2.986053e-08	-3e-45	-0.099	0	0
0	-0.99245477	1.9121217e-08	-3e-45	-0.1	0	0
0	-0.992394	1.5890691e-08	-3e-45	-0.099	0	0
0	-0.9923326	1.344597e-08	-3e-45	-0.098	0	0
0	-0.99227065	1.0069925e-08	-3e-45	-0.097	0	0
0	-0.9922081	8.527422e-09	-3e-45	-0.096	0	0
0	-0.99214494	8.1490725e-09	-3e-45	-0.095	0	0
0	-0.9920813	7.741619e-09	-3e-45	-0.094	0	0
0	-0.9920169	5.995389e-09	-3e-45	-0.093	0	0
0	-0.99195206	4.4237822e-09	-3e-45	-0.092	0	0
0	-0.9918866	5.3842086e-09	-3e-45	-0.091	0	0
0	-0.9918206	4.8894435e-09	-3e-45	-0.09	0	0
0	-0.9917538	6.693881e-09	-3e-45	-0.089	0	0
0	-0.9916865	6.8394e-09	-3e-45	-0.088	0	0
0	-0.99161863	5.4133125e-09	-3e-45	-0.087	0	0
0	-0.9915501	6.519258e-09	-3e-45	-0.086	0	0
0	-0.99148095	5.2386895e-09	-3e-45	-0.085	0	0
0	-0.99141115	5.3842086e-09	1e-45	-0.084	0	0
0	-0.99134076	6.315531e-09	-3e-45	-0.083	0	0
0	-0.99126965	8.1490725e-09	-3e-45	-0.082	0	0
0	-0.9911978	6.2282197e-09	-3e-45	-0.081	0	0
0	-0.99112546	7.5961e-09	-3e-45	-0.08	0	0
0	-0.9910524	9.95351e-09	-3e-45	-0.079	0	0
0	-0.9909787	1.0477379e-08	-3e-45	-0.078	0	0
0	-0.9909043	1.0419171e-08	-3e-45	-0.077	0	0
0	-0.9908292	1.231092e-08	-3e-45	-0.076	0	0
0	-0.9907535	1.4115358e-08	-3e-45	-0.075	0	0
0	-0.990677	1.5599653e-08	-3e-45	-0.074	0	0
0	-0.9905999	1.6763806e-08	-3e-45	-0.073	0	0
0	-0.9905219	1.6647391e-08	-1e-45	-0.072	0	0
0	-0.9904434	2.142042e-08	-3e-45	-0.071	0	0
0	-0.9903641	2.5436748e-08	-3e-45	-0.07	0	0
0	-0.9902841	2.552406e-08	-1e-45	-0.069	0	0
0	-0.9902034	2.986053e-08	-3e-45	-0.068	0	0
0	-0.9901219	3.131572e-08	-3e-45	-0.067	0	0
0	-0.9900397	3.6437996e-08	-3e-45	-0.066	0	0
0	-0.9899567	4.2520696e-08	-3e-45	-0.065	0	0
0	-0.98987293	4.7293724e-08	-3e-45	-0.064	0	0
0	-0.9897884	5.349284e-08	-3e-45	-0.063	0	0
0	-0.9897032	6.024493e-08	-3e-45	-0.062	0	0
0	-0.98961717	7.075141e-08	-1e-45	-0.061	0	0
0	-0.9895303	7.939525e-08	-3e-45	-0.06	0	0
0	-0.9894427	8.562347e-08	-3e-45	-0.059	0	0
0	-0.98935425	1.0008807e-07	-3e-45	-0.058	0	0
0	-0.9892651	1.18481694e-07	-3e-45	-0.057	0	0
0	-0.98917496	1.3649696e-07	-3e-45	-0.056	0	0
0	-0.9890841	1.5911064e-07	-3e-45	-0.055	0	0
0	-0.98899245	1.8562423e-07	-3e-45	-0.054	0	0
0	-0.98889995	2.2008317e-07	-3e-45	-0.053	0	0
0	-0.9888066	2.6330235e-07	-3e-45	-0.052	0	0
0	-0.9887124	3.205496e-07	-3e-45	-0.051	0	0
0	-0.9886173	3.8868166e-07	-3e-45	-0.05	0	0
0	-0.98852134	4.7381036e-07	-3e-45	-0.049	0	0
0	-0.98842454	5.805632e-07	-3e-45	-0.048	0	0
0	-0.9883268	7.182243e-07	-3e-45	-0.047	0	0
0	-0.9882282	8.944771e-07	-3e-45	-0.046	0	0
0	-0.9881287	1.1280936e-06	-3e-45	-0.045	0	0
0	-0.9880283	1.4401448e-06	-3e-45	-0.044	0	0
0	-0.98792696	1.84073e-06	-3e-45	-0.043	0	0
0	-0.9878247	2.367451e-06	-3e-45	-0.042	0	0
0	-0.98772144	3.180292e-06	-3e-45	-0.041	0	0
0	-0.97953886	-7.6994183e-07	7e-45	-0.04	0	0
0	-0.9791433	-3.3538527e-08	4e-45	-0.039	0	0
0	-0.9787424	-2.7763235e-08	7e-45	-0.038	0	0
0	-0.978338	-3.0279807e-08	7e-45	-0.037	0	0
0	-0.9779297	-2.9030161e-08	8e-45	-0.036	0	0
0	-0.97751725	-2.793604e-08	7e-45	-0.035	0	0
0	-0.9771011	-3.1133823e-08	6e-45	-0.034	0	0
0	-0.97668076	-3.0049705e-08	8e-45	-0.033	0	0
0	-0.97625613	-3.007881e-08	8e-45	-0.032	0	0
0	-0.9758272	-2.834713e-08	-6e-45	-0.031	0	0
0	-0.9753938	-3.1286618e-08	-4e-45	-0.03	0	0
0	-0.9749557	-2.9685907e-08	-6e-45	-0.029	0	0
0	-0.97451293	-3.0209776e-08	-6e-45	-0.028	0	0
0	-0.9740653	-2.9700459e-08	-4e-45	-0.027	0	0
0	-0.97361267	-3.183959e-08	-6e-45	-0.026	0	0
0	-0.9731548	-2.8929207e-08	-4e-45	-0.025	0	0
0	-0.9726918	-3.3469405e-08	-4e-45	-0.024	0	0
0	-0.9722234	-3.0733645e-08	-4e-45	-0.023	0	0
0	-0.9717493	-3.1577656e-08	-4e-45	-0.022	0	0
0	-0.97126967	-3.0122465e-08	-4e-45	-0.021	0	0
0	-0.97078407	-3.1781383e-08	-4e-45	-0.02	0	0
0	-0.97029245	-3.047171e-08	-6e-45	-0.019	0	0
0	-0.9697948	-3.3673132e-08	-6e-45	-0.018	0	0
0	-0.96929085	-3.2014214e-08	-4e-45	-0.017	0	0
0	-0.9687802	-3.2101525e-08	-7e-45	-0.016	0	0
0	-0.9682631	-3.442983e-08	-4e-45	-0.015	0	0
0	-0.9677391	-3.250898e-08	-6e-45	-0.014	0	0
0	-0.9672079	-3.2421667e-08	-6e-45	-0.013	0	0
0	-0.9666696	-3.3294782e-08	-4e-45	-0.012	0	0
0	-0.9661239	-3.070454e-08	-4e-45	-0.011	0	0
0	-0.96557057	-3.2916432e-08	-6e-45	-0.01	0	0
0	-0.96500957	-3.2421667e-08	-6e-45	-0.009	0	0
0	-0.9644401	-3.1257514e-08	-3e-45	-0.008	0	0
0	-0.9638628	-3.373134e-08	-4e-45	-0.007	0	0
0	-0.96327674	-3.3527613e-08	-4e-45	-0.006	0	0
0	-0.962682	-3.405148e-08	-4e-45	-0.005	0	0
0	-0.9620784	-3.312016e-08	-3e-45	-0.004	0	0
0	-0.9614654	-3.7049176e-08	-3e-45	-0.003	0	0
0	-0.960843	-3.533205e-08	-4e-45	-0.002	0	0
0	-0.9602108	-3.5390258e-08	-6e-45	-0.001	0	0
0	-0.95956874	-3.655441e-08	-3e-45	7.632783e-17	0	0
0	-0.958916	-3.425521e-08	4e-45	0.001	0	0
0	-0.9582528	-3.79805e-08	1e-44	0.002	0	0
0	-0.95757854	-3.995956e-08	1e-44	0.003	0	0
0	-0.956893	-3.754394e-08	1e-44	0.004	0	0
0	-0.95619583	-3.6496203e-08	1e-44	0.005	0	0
0	-0.95548666	-3.8766302e-08	1e-44	0.006	0	0
0	-0.95476526	-3.7776772e-08	1e-44	0.007	0	0
0	-0.9540308	-4.208414e-08	4e-45	0.008	0	0
0	-0.95328337	-4.1676685e-08	1e-44	0.009	0	0
0	-0.9525223	-4.010508e-08	1e-44	0.01	0	0
0	-0.9517468	-3.7951395e-08	1e-44	0.011	0	0
0	-0.9509576	-4.1385647e-08	1e-44	0.012	0	0
0	-0.950153	-4.02797e-08	1e-44	0.013	0	0
0	-0.9493332	-4.17931e-08	1e-44	0.014	0	0
0	-0.9484972	-4.1909516e-08	1e-44	0.015	0	0
0	-0.9476445	-4.17931e-08	1e-44	0.016	0	0
0	-0.94677496	-4.3422915e-08	1e-44	0.017	0	0
0	-0.9458875	-4.4121407e-08	1e-44	0.018	0	0
0	-0.9449818	-4.505273e-08	1.1e-44	0.019	0	0
0	-0.9440573	-4.40632e-08	1e-44	0.02	0	0
0	-0.94311285	-4.551839e-08	1e-44	0.021	0	0
0	-0.94214815	-4.703179e-08	1e-44	0.022	0	0
0	-0.9411619	-4.6449713e-08	1e-44	0.023	0	0
0	-0.9401542	-4.7672074e-08	8e-45	0.024	0	0
0	-0.9391229	-5.197944e-08	8e-45	0.025	0	0
0	-0.9380684	-4.8370566e-08	1e-44	0.026	0	0
0	-0.93698883	-4.9883965e-08	1e-44	0.027	0	0
0	-0.93588346	-5.4656994e-08	1e-44	0.028	0	0
0	-0.9347514	-5.075708e-08	1e-44	0.029	0	0
0	-0.9335916	-5.302718e-08	1e-44	0.03	0	0
0	-0.9324024	-5.122274e-08	1e-44	0.031	0	0
0	-0.9311829	-5.2852556e-08	1e-44	0.032	0	0
0	-0.9299315	-5.646143e-08	1e-44	0.033	0	0
0	-0.9286469	-5.5122655e-08	1e-44	0.034	0	0
0	-0.92732763	-5.54719e-08	1.1e-44	0.035	0	0
0	-0.92597187	-5.8615115e-08	1.1e-44	0.036	0	0
0	-0.92457783	-5.989568e-08	1e-44	0.037	0	0
0	-0.9231439	-6.047776e-08	1e-44	0.038	0	0
0	-0.9216678	-6.268965e-08	1.1e-44	0.039	0	0
